id,command,arg0<jpn>,arg1<jpn>,arg2,arg3,arg4
-,,,
collection1-1,bg,scenario00
collection101-1,playBgm,story00
collection101-1,talk,natsuno,......できた
collection101-1,talk,natsuno,んー......
collection101-1,fg,survivor00,right-right,0.5,smile
collection101-1,talk,natsuno,まぁまぁ、いい感じ
collection101-1,fg,survivor00,right-right,0.5,default
collection101-1,talk,natsuno,味は......
collection101-1,talk,natsuno,まぁ、チョコレート......だよね
collection101-1,talk,natsuno,......
collection101-1,talk,natsuno,......えー
collection101-1,fg,survivor00,right-right,0.5,doubt
collection101-1,talk,natsuno,今から、サイテーなことを言います
collection101-1,talk,natsuno,聞きたくなかったら、耳を塞いでてください
collection101-1,talk,natsuno,......
collection101-1,talk,natsuno,......生クリームとか、ナッツとか、いろいろ入れたりもするけど
collection101-1,talk,natsuno,......基本、溶かして固めただけなんだし
collection101-1,talk,natsuno,......じゃあ
collection101-1,fg,survivor00,right-right,0.5,zito
collection101-1,talk,natsuno,板チョコのまま食べても......一緒じゃない？
collection101-1,talk,natsuno,......
collection101-1,fg,survivor00,right-right,0.5,default
collection101-1,talk,natsuno,......あー
collection101-1,talk,natsuno,なんかすっきりした
collection101-1,talk,natsuno,ずっと思ってたんだよね
collection101-1,talk,natsuno,さすがにチョコ渡す友達には言えなかったけど
collection101-1,talk,natsuno,......
collection101-1,talk,natsuno,......けど、まぁ
collection101-1,talk,natsuno,誰かと、こうやってつくる時間とか
collection101-1,fg,survivor00,right-right,0.5,smile
collection101-1,talk,natsuno,そういうのは......悪くない......かな
collection101-1,talk,natsuno,......
collection101-1,talk,natsuno,あなたと一緒にいて......
collection101-1,talk,natsuno,最近、そういうのが、なんとなく......わかってきた気がする
collection101-1,talk,natsuno,......かも？
collection101-1,jump,end
-,,,
collection101-1,label,input_akane
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,playBgm,character03
collection101-1,fg,survivor03,right-right,0.5
collection101-1,talk,akane,おー？
collection101-1,talk,akane,チョコレートみっけー
collection101-1,talk,akane,よっと......
collection101-1,talk,akane,おー
collection101-1,talk,akane,これ、ひと箱全部板チョコじゃん
collection101-1,talk,akane,らっきー
collection101-1,talk,akane,しばらく甘いものには困んないねー
collection101-1,talk,akane,......
collection101-1,talk,akane,食材とか、ごはんはみんなでつくって、みんなで一緒に食べるんだけどさ
collection101-1,talk,akane,こういう、甘いものとか
collection101-1,talk,akane,数がたんさんあって、分配できるものは、最初にみんなで分けちゃうんだよね
collection101-1,talk,akane,で、それをどうやって食べるのか
collection101-1,fg,survivor03,right-right,0.5,smile
collection101-1,talk,akane,結構、性格が出てさー
collection101-1,talk,akane,あたしは気にせず、好きなときに食べちゃうけど
collection101-1,talk,akane,ナツノちゃんとか、ちょびちょび大事に食べてそうだなー
collection101-1,talk,akane,あはは
collection101-1,talk,akane,......
collection101-1,fg,survivor03,right-right,0.5,default
collection101-1,talk,akane,......いや？
collection101-1,talk,akane,せっかくだし？
collection101-1,talk,akane,たまには、みんなでぱーっと使っちゃおっかなー
collection101-1,talk,akane,......うん
collection101-1,talk,akane,そうしよ！
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,bg,scenario15
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,talk,akane,なーんだかんだ
collection101-1,talk,akane,手づくりチョコって、アタシ初めてつくるかも
collection101-1,talk,akane,つくり方は、なんとなく知ってるけど
collection101-1,talk,akane,中学とか高校の頃とか、つくったことなかったなー
collection101-1,talk,akane,義理チョコのお返しは、市販のやつで済ましちゃう派
collection101-1,talk,akane,男の子にチョコとか渡すほど、色気づいてもなかったしね、当時
collection101-1,talk,akane,大学のときってどうだったっけ
collection101-1,talk,akane,2月って春休み？
collection101-1,talk,akane,じゃあ、渡す機会もないか
collection101-1,talk,akane,まぁ大学に行ってたとしても
collection101-1,talk,akane,男の子の方が多い専攻だったから、義理チョコもらうこともなかったんだっけな
collection101-1,talk,akane,そう......だったっけ？
collection101-1,fg,survivor03,right-right,0.5,serious
collection101-1,talk,akane,んー......
collection101-1,talk,akane,そんな感じ、だったとは思うけど
collection101-1,talk,akane,......
collection101-1,fg,survivor03,right-right,0.5,default
collection101-1,talk,akane,なんかねー
collection101-1,talk,akane,大学の頃の記憶って、不思議と曖昧なんだよね
collection101-1,talk,akane,いろいろあった......なんなら、学生生活の中では一番いろいろあったはずなんだけど
collection101-1,talk,akane,忙しかったせいなのかなー
collection101-1,talk,akane,中学とか高校の頃みたいに
collection101-1,talk,akane,バレンタインとか、ハロウィンとか、夏祭りとか
collection101-1,talk,akane,そういう季節のことを気にしてられなかったってのは......ありそうだなー
collection101-1,talk,akane,忙しかったな、今思えば
collection101-1,talk,akane,人付き合いとか、バイトとか......研究室に引きこもったりとか
collection101-1,talk,akane,楽しかったけどね
collection101-1,fg,survivor03,right-right,0.5,serious
collection101-1,talk,akane,......まぁでも
collection101-1,talk,akane,今は、それとは真逆でさ
collection101-1,talk,akane,いろいろ大変なこともあるけど、それでも毎日、静かで
collection101-1,talk,akane,蝉の声を聞いたり
collection101-1,talk,akane,夜、星を眺めたり
collection101-1,talk,akane,そういうのも、いいもんだなーって
collection101-1,talk,akane,最近、思っちゃったり
collection101-1,talk,akane,ね
collection101-1,talk,akane,......
collection101-1,fg,survivor03,right-right,0.5,smile
collection101-1,talk,akane,......あはは
collection101-1,talk,akane,アタシ、何言ってんだろーね
collection101-1,fg,survivor03,right-right,0.5,default
collection101-1,talk,akane,......さーて
collection101-1,talk,akane,完成まで、しばし待たれよ！
collection101-1,pauseBgm
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,playBgm,story00
collection101-1,talk,akane,......よし
collection101-1,talk,akane,これで完成！
collection101-1,fg,survivor03,right-right,0.5,smile
collection101-1,talk,akane,やっぱアタシって天才だわ
collection101-1,talk,akane,おいしそうじゃない？
collection101-1,talk,akane,おいしそうでしょ？
collection101-1,talk,akane,ま、画面の向こうのあなたは、食べられないけどねー
collection101-1,fg,survivor03,right-right,0.5,default
collection101-1,talk,akane,んじゃ、ナツノちゃんたちに食べさせに行くかー
collection101-1,talk,akane,待ってろー、ナツノちゃん！
collection101-1,talk,akane,今どこで何してるのか知らないけど！
collection101-1,talk,akane,ま、その辺にいるでしょ！
collection101-1,fg,survivor03,right-right,0.5,smile
collection101-1,talk,akane,ごーごー！
collection101-1,jump,end
-,,,
collection101-1,label,input_kiko
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,playBgm,character01
collection101-1,fg,survivor01,right-right,0.5
collection101-1,talk,kiko,あ......
collection101-1,talk,kiko,この箱、何か入ってそう......
collection101-1,talk,kiko,......
collection101-1,talk,kiko,......チョコレート......？
collection101-1,talk,kiko,まだ食べられそうです......
collection101-1,talk,kiko,チョコレートかぁ......
collection101-1,talk,kiko,......
collection101-1,talk,kiko,......でも、ナツノさんは、たぶん好きですよね
collection101-1,talk,kiko,持って帰らないと......
collection101-1,talk,kiko,......
collection101-1,talk,kiko,持ち運ぶのは......ちょっと無理かも......
collection101-1,talk,kiko,ナツノさん呼んできます......
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,bg,scenario10
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,talk,kiko,えーと......
collection101-1,talk,kiko,これでいいのかな......
collection101-1,talk,kiko,えーっと......？
collection101-1,talk,kiko,......？
collection101-1,talk,kiko,......たぶん、だいじょうぶ
collection101-1,talk,kiko,......のはず
collection101-1,talk,kiko,......
collection101-1,talk,kiko,......え？
collection101-1,talk,kiko,あ、えっと
collection101-1,talk,kiko,ナツノさんが、せっかくたくさんあるから
collection101-1,talk,kiko,いろんな種類の手づくりチョコ、つくってみようって
collection101-1,talk,kiko,だから、こうやって溶かしてるんです......
collection101-1,talk,kiko,......うまくできてるのかな、これ
collection101-1,talk,kiko,......？
collection101-1,talk,kiko,あ、ナツノさんは、今、使えそうな食材がないか車に見に行ってます
collection101-1,talk,kiko,板チョコのばっかりじゃ、飽きちゃうので
collection101-1,talk,kiko,ナッツとか、クッキーとか
collection101-1,talk,kiko,......
collection101-1,talk,kiko,......ナツノさんには黙っておきますけど
collection101-1,talk,kiko,実は、私、チョコレートってあんまり得意じゃなくて
collection101-1,talk,kiko,嫌い......じゃないんですけど
collection101-1,talk,kiko,普段、あんまり食べないので
collection101-1,talk,kiko,......はい
collection101-1,talk,kiko,犬飼ってるから......犬って、チョコレートで中毒になっちゃうんです
collection101-1,talk,kiko,だからって、別に私がチョコレート食べちゃいけないわけじゃないんですけど......
collection101-1,talk,kiko,私って、おっちょこちょいなので
collection101-1,talk,kiko,落としたりして、犬が食べたら危ないじゃないですか
collection101-1,talk,kiko,そう思うと怖くて、あんまりチョコレート食べなくなって
collection101-1,talk,kiko,そしたら、いつの間にか苦手になってたっていうか
collection101-1,talk,kiko,苦手、っていうのも違うんですけど......
collection101-1,talk,kiko,普段食べないので、ちょっと遠慮しちゃうっていうか
collection101-1,talk,kiko,そんな感じ......です
collection101-1,talk,kiko,......
collection101-1,talk,kiko,......でも
collection101-1,talk,kiko,今は、一人だし
collection101-1,talk,kiko,久しぶりに、食べてみようかな
collection101-1,talk,kiko,せっかくつくるんだし......
collection101-1,talk,kiko,自分でつくったのなら、売ってるのよりは、安心して食べられる......ような、気がしますし
collection101-1,talk,kiko,や、でも売ってるのの方が安心ですかね......
collection101-1,talk,kiko,私なんかがつくって、うまくできるのかな......
collection101-1,talk,kiko,ナツノさん、早く帰ってこないかな......
collection101-1,pauseBgm
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,playBgm,story00
collection101-1,talk,kiko,......結局
collection101-1,talk,kiko,私一人で、ほとんどつくっちゃいました......
collection101-1,talk,kiko,ナツノさん、料理は得意じゃないからって
collection101-1,talk,kiko,ナツノさんが言い出したのに......
collection101-1,talk,kiko,や、別にいいんですけど......
collection101-1,talk,kiko,私だって、そんな得意じゃないんだけどな......
collection101-1,talk,kiko,......でも、初めてのチョコレートづくりにしては
collection101-1,talk,kiko,うまくできたと思います
collection101-1,talk,kiko,ナツノさんが、ナッツとかクッキーとか出してくれて
collection101-1,talk,kiko,いろんな種類のチョコ......
collection101-1,talk,kiko,これ自分でつくったって思うと......ちょっと、うれしい
collection101-1,talk,kiko,バレンタインとかも、犬がいたときは怖くて自分でつくったりできなかったので
collection101-1,talk,kiko,なんか......いいですね
collection101-1,talk,kiko,......
collection101-1,talk,kiko,あなたには......うーんと......見せることしかできない、ですけど
collection101-1,talk,kiko,ほら......
collection101-1,fg,survivor01,right-right,0.5,smile
collection101-1,talk,kiko,おいしそうに......見えます？
collection101-1,jump,end
-,,,
collection101-1,label,input_shino
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,playBgm,character02
collection101-1,fg,survivor02,right-right,0.5,smile
collection101-1,talk,shino,お！
collection101-1,talk,shino,ぴこーん！
collection101-1,talk,shino,シノちゃんセンサーがぴよぴよに反応してるねー
collection101-1,talk,shino,さーて
collection101-1,talk,shino,これは──
collection101-1,talk,shino,......チョコレートだ！
collection101-1,talk,shino,チョコレートがいっぱい入った箱、はっけーん
collection101-1,talk,shino,やったね
collection101-1,talk,shino,さっそくナツノちゃんに──
collection101-1,fg,survivor02,right-right,0.5,default
collection101-1,talk,shino,......
collection101-1,talk,shino,......いや？
collection101-1,talk,shino,いやいやいや？
collection101-1,fg,survivor02,right-right,0.5,smile
collection101-1,talk,shino,いいこと思いついちゃったかも！
collection101-1,talk,shino,せっかくだし......ね！
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,bg,scenario05
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,talk,shino,さーて、お次はーっと
collection101-1,talk,shino,......なんだったっけな
collection101-1,talk,shino,これがあれで、あれがこっちで......
collection101-1,talk,shino,えーと......
collection101-1,talk,shino,......これをこっちに入れるんだっけ？
collection101-1,talk,shino,......
collection101-1,talk,shino,意外に憶えてないもんだなー
collection101-1,talk,shino,うきうきでつくったんだけどなー、去年のバレンタインチョコ
collection101-1,talk,shino,うーんと......
collection101-1,fg,survivor02,right-right,0.5,default
collection101-1,talk,shino,......
collection101-1,talk,shino,......ま
collection101-1,talk,shino,1回、2回つくったくらいじゃ
collection101-1,talk,shino,憶えらんないか
collection101-1,talk,shino,......それまでは
collection101-1,talk,shino,町から出てくるまでは......
collection101-1,talk,shino,チョコなんか、つくろうとも思わなかったし
collection101-1,talk,shino,......え？
collection101-1,fg,survivor02,right-right,0.5,smile
collection101-1,talk,shino,だって、学校にいた男の子って
collection101-1,talk,shino,年下のガキばっかりだったんだもん
collection101-1,talk,shino,年上の男の人いなかったし
collection101-1,talk,shino,先生は、ぱっとしないおじちゃんか、おじいちゃんだし
collection101-1,talk,shino,女の子のタメの友達もいなかったし......
collection101-1,talk,shino,バレンタインのモチベ、なかったなー
collection101-1,talk,shino,そもそも、バレンタインとか、あの町にあったのかな
collection101-1,talk,shino,誰も気にしてなさそう
collection101-1,talk,shino,バレンタインとか誰も気にせずに、ぼんやり、いつもどーり、時間が流れてそう
collection101-1,talk,shino,......はは
collection101-1,talk,shino,そう......
collection101-1,fg,survivor02,right-right,0.5,sad
collection101-1,talk,shino,ほんとに、誰も気にしてなさそう
collection101-1,talk,shino,そういう......いろんなことから、取り残されたみたいな
collection101-1,talk,shino,辺鄙なとこ、だったな......
collection101-1,talk,shino,......自分の生まれ故郷だけど
collection101-1,talk,shino,幻だったのかも、ってときどき思っちゃうくらい
collection101-1,talk,shino,......
collection101-1,fg,survivor02,right-right,0.5,smile
collection101-1,talk,shino,ま！
collection101-1,talk,shino,それはそれとして！
collection101-1,talk,shino,今はどーにかチョコのつくり方を思い出さねば！
collection101-1,talk,shino,手づくりチョコつくって、ナツノちゃんをびっくりさせよー大作戦なんだから
collection101-1,talk,shino,......失敗して怒られそう？
collection101-1,fg,survivor02,right-right,0.5,default
collection101-1,talk,shino,......
collection101-1,talk,shino,............
collection101-1,talk,shino,......あたしも、それに一票かも
collection101-1,pauseBgm
collection101-1,wait,1
collection101-1,fadeOut,1
collection101-1,newPage
collection101-1,fg,survivor02,right-right,0,smile
collection101-1,wait,1
collection101-1,fadeIn,1
collection101-1,playBgm,story00
collection101-1,talk,shino,なんと！
collection101-1,talk,shino,ナツノちゃんをびっくりさせよー大作戦......
collection101-1,talk,shino,......
collection101-1,talk,shino,............
collection101-1,talk,shino,だいせーこー！
collection101-1,talk,shino,ナツノちゃん、よろこんでくれたー
collection101-1,talk,shino,やったね！
collection101-1,fg,survivor02,right-right,0.5,default
collection101-1,talk,shino,やー
collection101-1,talk,shino,まぁまぁ失敗したんだけどね
collection101-1,talk,shino,ナツノちゃんの舌が寛容でよかったよかった
collection101-1,talk,shino,......
collection101-1,talk,shino,......ナツノちゃん、実は結構なバカ舌なのでは......？
collection101-1,talk,shino,......
collection101-1,fg,survivor02,right-right,0.5,smile
collection101-1,talk,shino,やや！
collection101-1,talk,shino,そんなことはない！　たぶん！
collection101-1,talk,shino,とにかく、よころんでもらえてよかったー
collection101-1,talk,shino,ほら、せっかくだから
collection101-1,talk,shino,あなたも、食べとく？
collection101-1,talk,shino,......なんちゃって
collection101-1,talk,shino,画面の向こうにはお届けできないから
collection101-1,talk,shino,気分だけね！
collection101-1,talk,shino,ほら
collection101-1,talk,shino,あーん！
collection101-1,jump,end
-,,,
collection101-1,label,end
collection101-1,wait,2
collection101-1,end,questSuccess
-,,,
collection102-1,bg,scenario37
collection102-1,fgClear
collection102-1,playBgm,character00
collection102-1,wait,2
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,............
collection102-1,fg,survivor00,right-right,2.0,shy,devil
collection102-1,talk,natsuno,......なに
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......別に
collection102-1,talk,natsuno,言い訳とか、しません
collection102-1,talk,natsuno,......たまたま入ったお店の中に
collection102-1,talk,natsuno,これ、一着だけ、残ってて
collection102-1,talk,natsuno,トルソーが着てて
collection102-1,talk,natsuno,かわいーなーって思って......
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......ハロウィンにこういうの着て歩き回ってるのとか
collection102-1,talk,natsuno,テレビでよく見てたけど、実際、着たことなかったし
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......ちょっとテンション上がって
collection102-1,talk,natsuno,着てみた......だけ
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......なに？
collection102-1,talk,natsuno,メグルにも変な目で見られたし......
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,あのメグルに引かれたの、ちょっとショックだったな......
collection102-1,talk,natsuno,あんな感じだけど、意外と常識的っていうか
collection102-1,talk,natsuno,こっちが変なことすると、普通に引いてくるよね、メグル......
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......ちょー恥ずかしかったし
collection102-1,talk,natsuno,心に傷を負った
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,なので、もう着替えます
collection102-1,talk,natsuno,......
collection102-1,fg,survivor00,right-right,0.5,default,devil
collection102-1,talk,natsuno,......え
collection102-1,talk,natsuno,......まぁ、メグルには言ったけど
collection102-1,talk,natsuno,でも......
collection102-1,talk,natsuno,あなたからお菓子もらうの、無理だし
collection102-1,talk,natsuno,イタズラだって、スマホ越しじゃ、しようがないし
collection102-1,talk,natsuno,......
collection102-1,fg,survivor00,right-right,0.5,shy,devil
collection102-1,talk,natsuno,......わかったよ
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,<button>トリック</button>・オア・<button>トリート</button>......
collection102-1,talk,natsuno,......これでいい？
collection102-1,talk,natsuno,じゃあ、着替えてくるから......
collection102-1,waitCall,trick,trick,-
collection102-1,branch,prevInput,treat,treat,-
collection102-1,jump,end
collection102-1,label,trick
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......いや
collection102-1,talk,natsuno,だから、イタズラしようがないって......
collection102-1,talk,natsuno,......
collection102-1,fg,survivor00,right-right,0.5,default,devil
collection102-1,talk,natsuno,......あ
collection102-1,talk,natsuno,でも、そういえば
collection102-1,talk,natsuno,この前、あなたと通話してないときに、四人で暮らしてる人たちと会って
collection102-1,talk,natsuno,......っていう話、あなたにしてなかったよね？
collection102-1,talk,natsuno,そう、ちょっと前に、会ったの
collection102-1,talk,natsuno,ううん、家族じゃないみたいだった
collection102-1,talk,natsuno,友達同士で、一緒にいる......みたいな感じ
collection102-1,talk,natsuno,ほんとに仲良さそうで
collection102-1,talk,natsuno,なんか、そんな風に生きてる人たちもいるんだなって思った
collection102-1,talk,natsuno,ちょっと年上の......大学生くらいの人たちで
collection102-1,talk,natsuno,懐かしい感じっていうか......こんなことになる前から、友達だったんだろうな
collection102-1,talk,natsuno,ああいうノリで話してる人、久しぶりに会ったなって、感じ
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......それで
collection102-1,pauseBgm
collection102-1,talk,natsuno,その人たちの中の一人が、ちょっといい感じだったっていうか
collection102-1,talk,natsuno,タイプっていうか
collection102-1,talk,natsuno,かっこいいっていうか......
collection102-1,talk,natsuno,......そんな感じ、で
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......また、どこかで会えたらいいなって
collection102-1,talk,natsuno,最近、ずっと......
collection102-1,talk,natsuno,思ってたり、して
collection102-1,talk,natsuno,......頭の中
collection102-1,talk,natsuno,その人のことでいっぱいで......
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,............
collection102-1,talk,natsuno,......なんて
collection102-1,wait,1
collection102-1,fg,survivor00,right-right,0.5,smile,devil
collection102-1,talk,natsuno,うっそー
collection102-1,playBgm,character00
collection102-1,talk,natsuno,騙された？
collection102-1,talk,natsuno,はは
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,騙されないか
collection102-1,talk,natsuno,わたし、こんな感じだもんね
collection102-1,talk,natsuno,自分がどんな人がタイプか、わたしにもわかんないよ
collection102-1,talk,natsuno,教えてほしいくらい
collection102-1,talk,natsuno,......
collection102-1,fg,survivor00,right-right,0.5,default,devil
collection102-1,talk,natsuno,......でも、いつか
collection102-1,talk,natsuno,いつか......そういう人と、出会えたらいいな
collection102-1,talk,natsuno,......
collection102-1,fg,survivor00,right-right,0.5,smile,devil
collection102-1,talk,natsuno,......ははは
collection102-1,talk,natsuno,これも、うそ
collection102-1,talk,natsuno,やっぱ、わかんないや
collection102-1,talk,natsuno,タイプとか、好きとか、恋とか
collection102-1,talk,natsuno,......今は、わかんないままで
collection102-1,talk,natsuno,それでいいやって
collection102-1,talk,natsuno,思うよ
collection102-1,jump,end
collection102-1,label,treat
collection102-1,talk,natsuno,......え
collection102-1,talk,natsuno,お菓子くれるの？
collection102-1,fg,survivor00,right-right,0.5,default,devil
collection102-1,talk,natsuno,......や、別にお菓子じゃなくてもいいんだっけ
collection102-1,talk,natsuno,よく知らないけど......
collection102-1,talk,natsuno,じゃあ、何してくれるの？
collection102-1,talk,natsuno,日頃の感謝？　を伝えてくれる、とか？
collection102-1,fg,survivor00,right-right,0.5,shy,devil
collection102-1,talk,natsuno,......それなら、着替える前に聞いてあげる
collection102-1,waitCall,-,-,-
collection102-1,waitCall,-,-,-
collection102-1,waitCall,-,-,-
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......うーん
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......ありがと？
collection102-1,talk,natsuno,......
collection102-1,talk,natsuno,......じゃあ
collection102-1,talk,natsuno,着替えてくる
collection102-1,wait,1
collection102-1,fgRemove,survivor00,1.0
collection102-1,wait,1
collection102-1,talk,natsuno,......
collection102-1,jump,end
collection102-1,label,end
collection102-1,wait,2
collection102-1,end,questSuccess
-,,,
